"В дешёвых учебниках по математическому анализу вместо натуральных логарифмов используются логарифмы, идентичные натуральным.",2068,302
"Владимир Ильич Ленин не просто так лежит в Мавзолее. Он ждёт своего принца.",2122,282
"Фараон: здравствуйте, можно забронировать столик на имя Сакрахотеп?
Администратор: Продиктуйте, пожалуйста, по буквам.
Фараон: Птичка, два треугольника, волнистая линия, солнце, опять птичка, собачья голова, скарабей.",3870,565
"- Вот вампира сжёг.
- Что?!
- Вот вам пирожок, говорю.
Igor Kolomytsyn",2561,321
"Обидно когда качался несколько лет, а когда пропал без вести, в приметах написали "обычного телосложения".",2182,183
"- Ты же говорил мне, что умеешь играть в покер!
- Я блефовал.",1955,211
"– Не трогай, это на новый год.
– Но это же алкоголь.
– А, я испугалась, что ты горошек хочешь взять. Мне тоже налей.",2361,289
"- И сегодня в гостях у студии известный экономист и политолог.
Скажите, можете ли озвучить для нас темпы падения цен на нефть?
- Что значит "Озвучить темпы падения"? Как вы себе это представляете?
ИИИИИИИИИиииииииииииуууууууууууууууу..........бдыщь.
"Вот так, что ли? Вы думайте, перед тем как абсурдные вопросы задавать.",1781,202
"Нельзя вечно откладывать проблему. Когда-нибудь, всё равно придётся на неё плюнуть.",2047,328
"Пришёл в отчаянье, а там у же всё занято и очередь стоит.",2309,312
"За 20 лет работы Сергей не проиграл ни одного дела. Что, в принципе, нормально, если ты сторож.",1789,165
"Если любишь — отпусти. И если оно вернется — значит, оно никому больше не понравилось.",3316,388
"— Наличными или картой будете расплакиваться?
— Может быть расплачиваться?
— Я еще не назвала сумму.",1804,203
"Чтобы поймать вайфай, нужно думать как вайфай.",2127,259
"Почему мне никто не сказал, что примирительный секс должен быть именно с той девушкой, с которой поссорился?!",2243,145
"Один раз замуж выходят только ленивые.",1825,196
"Метеорология — наука точная. Бубен надо держать в левой руке.",2756,460
"Уже поздно умирать молодым, придётся жить вечно.",2089,284
"Бесит, когда работа не волк и не убегает в лес.",1981,227
